level,grammar_pattern,meaning_en,meaning_vi
N4,kamo shirenai,might; perhaps; indicates possibility,có thể; có lẽ; chỉ ra khả năng
N4,kana,I wonder; should I?,Tôi tự hỏi; tôi có nên không?
N4,kara tsukuru,made from; made with,làm từ; chắc chắn được làm bằng
N4,kitto,surely; undoubtedly; almost certainly; most likely,chắc chắn ; chắc chắn; gần như chắc chắn; rất có thể
N4,koro / goro,around; about; when,xung quanh; Về; khi
N4,koto,Verb nominalizer,Động từ danh nghĩa
N4,koto ga aru,there are times when,có những lúc
N4,koto ga dekiru,can; able to,Có thể; có thể to
N4,koto ni naru,It has been decided that..; it turns out that..,Nó đã được quyết định rằng..; hóa ra là..
N4,koto ni suru,to decide on,quyết định
N4,ku suru,to make something ~,làm cái gì đó ~
N4,kyuu ni,quickly; immediately; hastily; suddenly; abruptly; unexpectedly ~,nhanh chóng; ngay lập tức; vội vàng; đột nhiên; đột ngột; bất ngờ ~
N4,made ni,by; by the time; indicates time limit,qua; theo thời gian; cho biết giới hạn thời gian
N4,mama,as it is; current state; without changing,như nó vốn có; tình trạng hiện tại; không thay đổi
N4,matawa,both; or; otherwise​; choice between [A] or [B],cả hai; hoặc; nếu không​; lựa chọn giữa [A] hoặc [B]
N4,mitai da,like; similar to; resembling ~,giống; tương tự như; giống ~
N4,mitai na,"like, similar to ~","thích, tương tự như ~"
N4,mitai ni,like; similar to ~,giống; tương tự như ~
N4,mo,as many as; as much as; up to; nearly ~,nhiều như vậy; nhiều như ; đến ; gần ~
N4,na,don’t ~ (order somebody to not do something),đừng ~ (ra lệnh cho ai đó đừng làm gì đó)
N4,nado,such as; things like ~,chẳng hạn như; những thứ như ~
N4,nagara,while; during; as; simultaneously,trong khi; trong lúc; BẰNG; đồng thời
N4,nakanaka~nai,not easy to; struggling to; not able to ~,không dễ dàng; đấu tranh để ; không thể ~
N4,nakereba ikenai,must do something; have to do something,phải làm điều gì đó; phải làm gì đó
N4,nakereba naranai,must do something; have to do something,phải làm điều gì đó; phải làm gì đó
N4,nara,if; in the case that ~,nếu như; trong trường hợp ~
N4,nasai,do this (soft/firm command),làm điều này (lệnh mềm/chắc chắn)
N4,nasaru,to do (honorific),làm (kính trọng)
N4,ni ki ga tsuku,to notice; to realize,để ý; để nhận ra
N4,ni mieru,to look; to seem; to appear,nhìn ; dường như ; xuất hiện
N4,ni suru,to make something ~,làm việc gì đó ~
N4,nikui,difficult to do ~,khó làm ~
N4,no naka de,in; among ~,TRONG; trong số ~
N4,noni,"although, in spite of, even though ~","mặc dù, mặc dù, mặc dù ~"
N4,nowa~da,[A] is [B]; the reason for [A] is [B],[A] là [B]; lý do của [A] là [B]
N4,o~kudasai,please do ~ (honorific),xin hãy làm ~ (kính ngữ)
N4,o~ni naru,to do (honorific),làm (kính trọng)
N4,oki ni,"repeated at intervals, every ~","lặp đi lặp lại theo từng khoảng thời gian, cứ ~"
N4,owaru,to finish; to end~,để kết thúc; để kết thúc~
N4,rareru,potential form; ability or inability to do something,hình thức tiềm năng; khả năng hoặc không có khả năng làm điều gì đó
N4,rashii,it seems like; I heard; apparently ~,có vẻ như; Tôi đã nghe; rõ ràng là ~
N4,sa,-ness​ ; nominalizer for adjective,-sự ; từ hóa cho tính từ
N4,sakki,some time ago; just now,cách đây một thời gian; vừa rồi
N4,saserareru,causative-passive; to be made to do something,nguyên nhân-thụ động; bị bắt làm việc gì đó
N4,saseru,causative form; to make/let somebody do something,dạng nguyên nhân; làm/để ai đó làm điều gì đó
N4,sasete kudasai,please let me do,hãy để tôi làm
N4,sasuga,as one would expect; as is to be expected; even ~,như người ta mong đợi; như dự kiến; thậm chí ~
N4,shi,and; and what’s more ~ (emphasis),Và; và hơn thế nữa ~ (nhấn mạnh)
N4,sonna ni,so much; so; like that,rất nhiều; Vì thế; giống như bản demo
N4,sore demo,but still; and yet; even so ~,nhưng vẫn còn; và chưa; dù vậy ~
N4,sore ni,besides; in addition; also; moreover ~,bên cạnh đó; Ngoài ra; Mà còn; hơn nữa ~
N4,sou da [1],I heard that; it is said that ~,Tôi đã nghe điều đó; người ta nói rằng ~
N4,sou da [2],looks like; appears like; seeming ~,trông giống như; có vẻ như; có vẻ như ~
N4,sou ni / sou na,seems like; looks like ~,có vẻ như; có vẻ như ~
N4,ta bakari,just finished; something just occurred,vừa xong; có chuyện gì đó vừa xảy ra
N4,ta tokoro,"just finished doing, was just doing","vừa làm xong, vừa làm"
N4,tadoushi & jidoushi,Transitive & Intransitive Verbs,Động từ chuyển tiếp và nội động từ
N4,tagaru,wants to do ~ (third person),muốn làm ~ (người thứ ba)
N4,tara,if; after; when ~,nếu như; sau đó; khi ~
N4,tara dou,why don't you; how about ~ (used to give advice),tại sao bạn không; Thế còn ~ (dùng để đưa ra lời khuyên)
N4,tara ii desu ka,what should I do?; speaker seeking instructions from listener,tôi nên làm gì?; người nói tìm kiếm sự hướng dẫn từ người nghe
N4,te / de,"conjunctive particle; so; because of [A], [B]...","hạt liên kết; Vì thế; vì [A], [B]..."
N4,te ageru,to do for; to do a favor,để làm gì ; giúp một việc
N4,te hoshii,I want you to; need you to ~,Tôi muốn bạn làm vậy; cần bạn ~
N4,te iku,to start; to continue; to go on,bắt đầu; tiếp tục; to go on
N4,te ita,was doing something (past continuous),đang làm điều gì đó (quá khứ tiếp diễn)
N4,te itadakemasen ka,could you please ~,bạn có thể vui lòng ~
N4,te kureru,to do a favor; do something for someone,để làm một việc giúp đỡ; làm điều gì đó cho ai đó
N4,te kuru,to do… and come back; to become; to continue; to start ~,làm… và quay lại; trở thành; tiếp tục; bắt đầu ~
N4,te miru,try doing,thử làm
N4,te morau,to get somebody to do something,khiến ai đó làm việc gì đó
N4,te oku,to do something in advance,làm việc gì đó trước
N4,te shimau / chau,"to do something by accident, to finish completely","vô tình làm điều gì đó, hoàn thành hoàn toàn"
N4,te sumimasen,I’m sorry for,Tôi xin lỗi vì
N4,te yaru,to do for; to do a favor (casual),để làm gì ; làm một việc giúp đỡ (thông thường)
N4,te yokatta,I’m glad that ~,Tôi rất vui vì ~
N4,teiru tokoro,in the process of doing,trong quá trình thực hiện
N4,temo,even; even if; even though ~,thậm chí; ngay cả khi; mặc dù ~
N4,to,"whenever [A] happens, [B] also happens","bất cứ khi nào [A] xảy ra, [B] cũng xảy ra"
N4,to ittemo ii,you could say; one might say; I'd say ~,bạn có thể nói; người ta có thể nói; Tôi muốn nói ~
N4,to iu,called; named; that ~,gọi điện; được đặt tên; that ~
N4,to iu koto,convert phrase into noun,chuyển cụm từ thành danh từ
N4,to iwarete iru,it is said that ~,người ta nói rằng ~
N4,to kiita,I heard...,Tôi nghe nói...
N4,to omou,to think…; I think…; you think…,suy nghĩ…; tôi nghĩ…; bạn nghĩ…
N4,toka~toka,among other things; such as; like ~,trong số những thứ khác; chẳng hạn như; như ~
N4,tokoro,just about to; on the verge of doing something,sắp sửa ; sắp sửa làm điều gì đó
N4,tsuzukeru,continue to; keen on ~,tiếp tục ; quan tâm đến ~
N4,tte,named; called ~,được đặt tên; được gọi là ~
N4,ukemi kei,passive form; passive voice,hình thức thụ động; giọng bị động
N4,wa~ga... wa,[A] but [B]; however; comparison,[A] nhưng [B]; Tuy nhiên; so sánh
N4,yasui,easy to; likely to; prone to; have a tendency to ~,dễ dàng; có khả năng ; có xu hướng ; cuối cùng có xu hướng ~
N4,yatto,at last; finally; barely; narrowly ~,cuối cùng; Cuối cùng; vừa đủ; thu hẹp ~
N4,yori,than; rather than; more than ~,hơn; còn hơn là; hơn ~
N4,yotei da,"plan to, intend to","dự định, có ý định"
N4,you da,appears; seems; looks as if ~,xuất hiện; có vẻ ; trông như thể ~
N4,you ni / you na,like; as; similar to ~,giống; BẰNG; tương tự như ~
N4,you ni naru,to reach the point that; to come to be that; to turn into ~,để đạt đến điểm đó; trở thành cái đó; biến thành ~
N4,you ni suru,to try to; to make sure that ~,cố gắng ; để đảm bảo rằng ~
N4,you to omou,thinking of doing; planning to ~,nghĩ đến việc làm; lên kế hoạch ~
N4,zehi,by all means; certainly; definitely ~,bằng mọi cách; chắc chắn; chắc chắn rồi ~
N4,zenzen~nai,(not) at all,(không) chút nào
N4,zurai,difficult to do ~,khó thực hiện ~
N3,ageru,to finish doing ~,để hoàn thành việc làm ~
N3,amari,so much… that,quá nhiều… that
N3,amari ni mo,too much; so much… that; excessively ~,quá nhiều; rất nhiều... cái đó; quá mức ~
N3,au,do something together,cùng nhau làm điều gì đó
N3,ba ii,should; can; it’d be good if ~,nên; Có thể; sẽ tốt hơn nếu có ~
N3,ba yokatta,should have; would have been better if ~,nên có; sẽ tốt hơn nếu ~
N3,ba~hodo,the more… the more ~,càng nhiều… thì càng có nhiều ~
N3,ba~noni,would have; should have; if only ~,sẽ có; nên có; giá mà ~
N3,bakari de,only; just ~ (negative description),chỉ một; chỉ ~ (mô tả tiêu cực)
N3,bakari denaku,not only... but also; as well as ~,không chỉ... mà còn; cũng như ~
N3,beki da,should do; must do ~,nên làm; phải làm ~
N3,beki dewa nai,should not do; must not do ~,không nên làm; không được làm ~
N3,betsu ni~nai,"not really, not particularly","không hẳn, không đặc biệt"
N3,buri ni,for the first time in (period of time),lần đầu tiên trong (khoảng thời gian)
N3,chuu / juu,currently; during; at some point; throughout; before the end of ~,Hiện nay; trong lúc; tại một thời điểm nào đó; khắp; trước khi kết thúc ~
N3,dake,as much as ~,nhiều như ~
N3,dake de naku,not only… but also ~,không chỉ… mà còn ~
N3,dakedo,but; however; although; regarding ~,Nhưng; Tuy nhiên; mặc dù; về ~
N3,darake,full of; covered with; a lot of (something undesirable),đầy ; được bao phủ bởi; rất nhiều (thứ gì đó không mong muốn)
N3,donna ni~temo,どんなに～てもno matter how (much),どんなに～てもbất kể thế nào (nhiều)
N3,doushitemo,no matter what; at any cost; after all ~,không có vấn đề gì; bằng mọi giá; xét cho cùng ~
N3,furi o suru,to pretend; to act as if ~,giả vờ ; hành động như thể ~
N3,futo,suddenly; accidentally; unexpectedly; unintentionally ~,đột nhiên; vô tình; bất ngờ; vô tình ~
N3,gachi,tend to; tendency to; frequently; often; to do something easily,có xu hướng ; xu hướng ; thường xuyên; thường; làm việc gì đó dễ dàng
N3,gatai,very difficult to; hard to ~,rất khó để; khó ~
N3,gimi,-like; -looking; -looked; tending to ~,-giống; - nhìn; -nhìn; chăm sóc ~
N3,goto ni,each; every; at intervals of ~,mỗi; mọi; ở các khoảng ~
N3,hodo,degree; extent; bounds; upper limit,bằng cấp; mức độ; giới hạn; giới hạn trên
N3,hodo~nai,is not as… as ~,không phải là… như ~
N3,ichido ni,all at once,tất cả cùng một lúc
N3,ikura~temo,no matter how ~,dù thế nào đi nữa ~
N3,ippou da,more and more; continue to ~,ngày càng nhiều hơn; tiếp tục nhấn mạnh ~
N3,ittai,emphasis; what on earth; what in the world,nhấn mạnh; cái quái gì vậy; có thể là cái quái gì
N3,janai,maybe; most likely; confirmation of information; express surprise towards listener,Có lẽ; rất có thể; xác nhận thông tin; bày tỏ sự ngạc nhiên với người nghe
N3,ka nani ka,or something ~,hay gì đó ~
N3,kakeru,half-; not yet finished; in the middle of~,một nửa-; chưa hoàn thành; ở giữa~
N3,kara~ni kakete,through; from [A] to [B],bởi vì; từ [A] đến [B]
N3,kawari ni,instead of; as a substitute for​; in exchange for; in return for,thay vì ; thay thế cho​; để đổi lấy; đổi lại
N3,kekka,as a result of; after ~,bởi vì; sau ~
N3,kekkyoku,after all; eventually; in the end ~,xét cho cùng; sau cùng; cuối cùng ~
N3,kesshite~nai,never; by no means ~,không bao giờ; không có nghĩa là ~
N3,kirenai,unable to do; too much to finish/complete,không thể làm được; quá nhiều để hoàn thành/chỉ hoàn thành
N3,kiri,only; just; since; after ~,chỉ một; chỉ; từ; sau ~
N3,kiru,to do something completely to the end,làm điều gì đó hoàn toàn đến cùng
N3,kke,a casual suffix to confirm something you are trying to remember,một hậu tố thông thường để xác nhận điều gì đó bạn đang cố nhớ
N3,komu,to do something for a long time or to move something inside,làm điều gì đó trong một thời gian dài hoặc di chuyển một cái gì đó bên trong
N3,koso,for sure (emphasize preceding word); precisely; definitely ~,chắc chắn (nhấn mạnh từ trước); chính xác ; chắc chắn ~
N3,koto,(must) do,(phải) do
N3,koto kara,from the fact that ~,từ thực tế là ~
N3,koto ni natteiru,"expresses a standard, rule or expectation","thể hiện một tiêu chuẩn, quy tắc hoặc kỳ vọng"
N3,koto wa nai,there is no need to; (something) never happens; there is no possibility that ~,không cần phải làm vậy; (điều gì đó) không bao giờ xảy ra; không có khả năng là ~
N3,koto wa~ga,although; but ~,mặc dù; nhưng xấp xỉ là ~
N3,kurai / gurai,approximately; about; around; to the extent ~,khoảng; Về; xung quanh; đến mức ~
N3,kuse ni,and yet; though; in spite of; despite ~,và chưa; mặc dù; mặc dù; mặc dù ~
N3,maru de,as if; as though; just like ~,như thể ; như thể ; giống như ~
N3,masaka,there's no way; that's impossible; you must be joking,không có cách nào; điều đó là không thể; chắc hẳn bạn đang đùa
N3,metta ni~nai,hardly; rarely; seldom,khắc nghiệt; hiếm khi; hiếm khi
N3,mo~ba~mo,and; also; as well; either/or; neither/nor,Và; Mà còn; cũng vậy; hoặc/hoặc; có lẽ cũng không/nor
N3,moshika shitara,perhaps; maybe; perchance; by any chance ~,có lẽ; Có lẽ; có lẽ; có thể nào ~
N3,moshimo~tara,if; in the case; supposing ~,nếu như; trong vụ án; giả sử ~
N3,muke,intended for; aimed at ~,dành cho; nhằm vào ~
N3,muki,suitable for ~,thích hợp cho ~
N3,mushiro,rather; instead; better ~,hơn là; thay vì; tốt hơn ~
N3,nagara mo,but; although; despite ~,Nhưng; mặc dù; mặc dù ~
N3,nai koto wa nai,can do; is not impossible to ~,có thể làm được; không phải là không thể ~
N3,naito,must do; unless/if you don't ~,phải làm; trừ khi/nếu bạn không ~
N3,nakanaka,very; quite; pretty; rather; just not ~,rất; khá; đẹp; hơn là; chỉ là không ~
N3,nanka / nante / nado,give examples; show modesty; make light of ~,cho ví dụ; thể hiện sự khiêm tốn; coi nhẹ ~
N3,naosu,to do something again; to do over,làm lại điều gì đó; làm hơn
N3,naru beku,as much as possible,càng nhiều càng tốt
N3,nazenara,because; the reason is; if you want to know why,bởi vì; lý do là; nếu bạn muốn biết tại sao
N3,ndatte,I hear that; heard that ~,Tôi nghe thấy điều đó; nghe nói rằng ~
N3,ni chigai nai,I’m sure/ certain; no doubt that ~,Tôi chắc chắn/chắc chắn; chắc chắn rằng ~
N3,ni hanshite,against; contrary to; in contrast to ~,chống lại; trái ngược với ; trái ngược với ~
N3,ni kakete,over (a period); through; concerning; regarding ~,hơn (một khoảng thời gian); bởi vì; liên quan đến; về ~
N3,ni kan suru / ni kan shite,about; regarding; related to ~,Về; về; liên quan đến ~
N3,ni kawatte / ni kawari,instead of; replacing; on behalf of ~,thay vì ; thay thế; thay mặt cho ~
N3,ni kurabete,compared to; in comparison to ~,so sánh với ; so với ~
N3,ni nareru,to be used to something,quen với thứ gì đó
N3,ni oite / ni okeru,in; at (place); regarding; as for; in relation to ~,TRONG; tại (địa điểm); về; như ; liên quan đến ~
N3,ni shitagatte,as; therefore; in accordance with; according to; consequently ~,BẰNG; Vì vậy; phù hợp với; theo ; do đó ~
N3,ni shite mo,even if; even though; regardless of ~,ngay cả khi; mặc dù; bất chấp ~
N3,ni shite wa,for; considering it’s (something or someone),vì; xem xét nó (thứ gì đó hoặc ai đó)
N3,ni taishite,towards; against; regarding; in contrast with​ ~,đối với; chống lại; về; ngược lại với​ ~
N3,ni totte,to; for; concerning; as far as ... is concerned; regarding ~,ĐẾN; vì; liên quan đến; về phần... có liên quan; liên quan đến ~
N3,ni tsuite,concerning; regarding; about; on ~,liên quan đến; về; Về; trên ~
N3,ni tsurete,as; in proportion to; with; as… then ~,BẰNG; tương ứng với; với; như… thì ~
N3,ni wa,for the purpose of; in order to ~,nhằm mục đích; để ~
N3,ni yoru to/ni yoreba,according to ~,theo ~
N3,ni yotte / ni yoru,by means of; due to; owing to; because of ~,bằng cách; bởi vì; nhờ vào ; vì ~
N3,no deshou ka,ask a question in a polite way,đặt câu hỏi một cách lịch sự
N3,o chuushin ni,focused on; centered on,tập trung vào; ví dụ như tập trung vào
N3,o hajime,for example; starting with ~,Ví dụ; bắt đầu bằng ~
N3,o komete,filled with; full of,chứa đầy ; đầy đủ
N3,o tsuujite / o tooshite,through; via; throughout; by ~,bởi vì; thông qua; khắp; bởi ~
N3,okage de,thanks to; owing to; because of ~,nhờ ; nhờ vào ; vì ~
N3,ppanashi,leaving (something) on; leaving (something) still in use​,để lại (cái gì đó); để lại (thứ gì đó) vẫn còn được sử dụng​
N3,ppoi,seems like; somewhat; -ish; easily does; often does ~,có vẻ như; phần nào; -ish; dễ dàng làm được; thường làm vậy ~
N3,sae,even; so much as; not even,thậm chí; nhiều như; thậm chí không phải
N3,sae~ba,if only; as long as ~,giá như ; miễn là ~
N3,sai ni,when; at the time of; in the case of ~,khi; vào thời điểm đó; trong trường hợp ~
N3,saichuu ni,while; during; in the middle of ~,trong khi; trong lúc; ở giữa ~
N3,sara ni,furthermore; again; more and more ~,hơn nữa; lại; ngày càng nhiều ~
N3,sate,conjunction: well; now; then ~,liên từ: tốt; Hiện nay; rồi ~
N3,sei de,because of; due to; as a result of ~,vì ; bởi vì; kết quả là ~
N3,seizei,at the most; at best; to the utmost,nhiều nhất; tốt nhất là; đến mức tối đa
N3,shibaraku,for a moment; for a while; for the time being,trong giây lát; một lúc; tạm thời
N3,shikanai,have no choice but ~,không có lựa chọn nào khác ngoài ~
N3,sono tame ni,hence; for that reason; because of ~,kể từ đây; vì lý do đó; vì ~
N3,soretomo,or; or else ~,hoặc; hoặc nếu không ~
N3,sou mo nai /sou ni nai,very unlikely to; showing no signs of ~,rất khó xảy ra; không có dấu hiệu nào của ~
N3,sude ni,something has already been done/taken place; is already the case,điều gì đó đã được thực hiện/đã diễn ra; đã là trường hợp
N3,sunawachi,in other words; namely ~,nói cách khác; cụ thể là ~
N3,suuryou + wa,at least ~,ít nhất ~
N3,ta mono da,used to do; would often do,đã từng làm; thường sẽ làm
N3,ta totan,as soon as; just as ~,càng sớm càng; giống như ~
N3,tabi ni,whenever; every time ~,bất cứ khi nào; mỗi lần ~
N3,tame ni,for; in order to; for the benefit of; because of; as a result of ~,vì; để; vì lợi ích của; vì ; bởi vì ~
N3,tashika ni,"surely, certainly ~","chắc chắn, chắc chắn ~"
N3,tate,just done; freshly done; newly done,vừa xong; mới làm xong; mới làm xong
N3,tatoe~temo,even if… is the case,ngay cả khi… là trường hợp
N3,tatoeba,for example; for instance ~,Ví dụ; ví dụ ~
N3,tatte,even if; even though; no matter how ~,ngay cả khi; mặc dù; dù thế nào cũng chỉ ~
N3,te bakari iru,only; nothing but ~,chỉ một; không có gì ngoài ~
N3,te goran,(please) try to; (please) look,(làm ơn) cố gắng; (làm ơn) nhìn
N3,te hajimete,not until; only after [x] did I,không cho đến khi ; chỉ sau [x] thì I
N3,te kara de nai to,must first do; cannot do without first doing ~,đầu tiên phải làm; không thể làm được nếu không làm trước ~
N3,te shou ga nai/te shikata ga nai,can't help but; very; extremely ~,không thể không; rất; cực kỳ ~
N3,te sumu,sufficient by; no problem to; resolve by ~,đủ bởi; không có vấn đề gì; giải quyết bằng ~
N3,te wa ikenai kara,in order to not~; to prevent a negative situation,để không~; để ngăn chặn tình huống tiêu cực
N3,teiru baai janai,this is no time to be doing ~,đây không phải lúc để làm ~
N3,teki,change noun into na-adjective or adverb,đổi danh từ thành tính từ hoặc trạng từ na
